nome,id,Proteína,Carboidrato,Energia,Colesterol,Lipídeos,Fibra Alimentar,Vitamina C,Ferro,Cálcio,Sódio,Magnésio,Potássio,Manganês,Fósforo,Cobre,Zinco,Cinzas,Retinol,Tiamina,Riboflavina,Piridoxina,Niacina,RE,RAE,Umidade
"Ovo, de galinha, clara, cozida/10minutos",294,100,13.40,0,59,0,0.10,0,0,0.10,6,181,11,146,0,15,0.03,0,0.70,0,0,0.08,0,0,0,0,85.2
"Inhame, cru",295,100,2.10,23.20,97,0,0.20,1.70,5.60,0.40,12,0,29.00,568,0.15,65,0.17,0.30,1.20,0,0.08,0,0.11,0,0,0,73.3
"Carne, bovina, charque, cozido",296,100,36.40,0,263,113.00,11.90,0,0,3.50,15,1443,13,90,0.02,101,0.07,6.10,3.60,0,0.05,0.07,0,1.50,0,0,45.8
"Espinafre, Nova Zelândia, refogado",297,100,2.70,4.20,67,0,5.40,2.50,5.30,0.60,112.00,47,123,149,0.61,34,0.04,0.60,1,0,0.08,0.13,0.13,0,624,624,86.6
"Laranja, lima, crua",298,100,1.10,11.50,46,0,0.10,1.80,43.50,0.10,31,1,10,130,0.05,15,0.03,0.10,0.40,0,0.09,0.05,0.04,0,0,0,87.0
"Canjica, com leite integral",299,100,2.40,23.60,112.00,1,1.20,1.20,0,0.10,43,28.00,6,70,0.02,41,0.03,0.30,0.30,0,0,0.04,0,0,0,0,72.5
"Salada, de legumes, cozida no vapor",300,100,2,7.10,35,0,0.30,2.50,29.40,0.40,33,3,19,244,0.24,45,0.17,0.30,0.60,0,0.05,0.03,0.03,0,510.00,510.00,90.0
"Pão, trigo, francês",301,100,8,58.60,300,0,3.10,2.30,0,1,16,648,25,142,0.46,95,0.13,0.80,1.80,3,0.39,0.67,0.60,2.34,0,0,28.5
"Biscoito, doce, recheado com morango",302,100,5.70,71,471,0,19.60,1.50,0,1.50,36,230.00,27,113.00,0.66,138,0.13,0.70,1,0,0.90,0.42,0.21,1.50,0,0,2.7
Estrogonofe de frango,303,100,17.60,2.60,157,80,8,0,0,1.50,26,99,25,307,0.03,195,0.12,0.60,1,28.00,0.07,0.04,0.03,3.37,0,0,70.9
"Biscoito, doce, wafer, recheado de morango",304,100,4.50,67.40,513,1,26.40,0.80,0,1.10,14.00,120,19,75,0.28,73,0.08,0.50,0.60,0,0.36,0,0.94,0.37,0,0,1.2
"Tomate, purê",305,100,1.40,6.90,28.00,0,0,1,5.40,1.30,13,104,15,308,0,30,0.09,0.30,1,0,0,0,0.07,1.18,90,90,90.8
"Salsa, crua",306,100,3.30,5.70,33,0,0.60,1.90,51.70,3.20,179,2,21,711,1.88,49,0.20,1.30,1.80,0,0.12,0.15,0.47,0.72,1743,1743,88.7
"Charuto, de repolho",307,100,6.80,10.10,78,21,1.10,1.50,4.80,0.90,23,12,13,184,0.22,68,1.45,1.80,0.40,0,0.03,0,0,0.32,0,0,81.5
"Tomate, extrato",308,100,2.40,15,61,0,0.20,2.80,18,2.10,29.00,498.00,29.00,680,0.18,47,0.20,0.40,2.80,0,0,0,0.11,2.42,166,166,79.7
"Leite, de coco",309,100,1,2.20,166,0,18.40,0.70,0,0.50,6,44,17,144,0.24,26,0.16,0.30,0.40,0,0,0,0,0,0,0,78.0
"Pastel, de queijo, frito",310,100,8.70,48.10,422,15,22.70,0.90,0,1.30,126,821.00,15,124,0.20,124,0.10,0.80,2.90,18,0.09,0.04,0,0,18,18,17.5
"Maçã, Argentina, com casca, crua",311,100,0.20,16.60,63,0,0.20,2,1.50,0.10,3,1,5,117,0.01,11,0.03,0,0.30,0,0.05,0,0,0,0,0,82.6
"Melancia, crua",312,100,0.90,8.10,33,0,0,0.10,6.10,0.20,8,0,10,104,0.14,12,0.04,0.10,0.30,0,0,0,0,0,61,61,90.7
"Pescada, filé, molho escabeche",313,100,11.80,5,142,43,8,0.80,6.90,1.50,20,51,18,208,0.08,105,0.36,0.30,0.70,19,0,0.03,0,1.10,0,0,74.5
"Queijo, prato",314,100,22.70,1.90,360,91,29.10,0,0,0.30,940,580,28.00,73,0.03,461.00,0.10,3.50,3.90,123,0,0.22,0,0,0,0,42.4
"Pitanga, crua",315,100,0.90,10.20,41,0,0.20,3.20,24.90,0.40,18,2,12,113.00,0.36,13,0.08,0.40,0.40,0,0.03,0.10,0,0,154,154,88.3
"Serralha, crua",316,100,2.70,4.90,30,0,0.70,3.50,1.50,1.30,126,19,30,265,0.23,48,0.20,1.30,1.40,0,0,0.11,0.08,0,1134,1134,90.2
"Chá, erva-doce, infusão 5%",317,100,0,0.40,1,0,0,0,0,0,2,1,1,10,0.01,1,0.01,0,0,0,1.23,0.23,0,0,0,0,99.6
"Pintado, grelhado",318,100,30.80,0,152,99,2.30,0,0,0.50,69,53,27,360,0.03,237,0.04,0.80,1.60,5,0.03,0,0,2.87,5,5,65.5
"Pamonha, barra para cozimento, pré-cozida",319,100,2.60,30.70,171,0,4.80,2.40,0,0.40,4,132,15,125,0.12,55.00,0.03,0.40,0.60,0,0,0,0,0,0,0,61.3
"Tamarindo, cru",320,100,3.20,72.50,276,0,0.50,6.40,7.20,0.60,37,0,59,723,0.34,55.00,0.29,0.70,1.90,0,0.31,0,0.10,0,0,0,22.0
"Laranja, valência, suco",321,100,0.50,8.60,36,0,0.10,0.40,0,0,9,0,10,143,0.03,17,0.02,0,0.30,0,0,0,0.03,0,2,2,90.5
"Goiaba, doce, cascão",322,100,0.40,78.70,286,0,0.10,4.40,34.30,0.40,15,11,10,251.00,0.16,28.00,0.08,0.10,0.50,0,0,0,0,1.41,50,50,20.3
"Carne, bovina, contra-filé, sem gordura, grelhado",323,100,35.90,0,194,102,4.50,0,0,2.40,5,58.00,21,386,0,241,0.09,5.10,1.30,0,0,0.17,0.16,4.93,0,0,57.5
"Peru, congelado, cru",324,100,18.10,0,94,68,1.80,0,0,0.90,10,711,19,281,0,217,0.36,1.40,2.50,0,0.06,0,0,4.23,0,0,78.2
"Carne, bovina, paleta, sem gordura, crua",325,100,21,0,141,42,5.70,0,0,1.90,4,66,18,319,0,163,0.05,3.30,1,3,0.13,0.21,0,2.67,3,3,72.1
"Laranja, baía, suco",326,100,0.70,8.70,37,0,0,0,94.50,0.10,6,0,8,173,0.02,22,0.02,0,0.40,0,0.03,0,0.02,0,4,4,90.2
"Peru, congelado, assado",327,100,26.20,0,163,91,5.70,0,0,0.60,14.00,628,12,175,0.02,197,0.03,1.20,2.20,0,0.06,0,0,6.23,0,0,65.3
"Coxinha de frango, frita",328,100,9.60,34.50,283,15,11.80,5,0,1.30,18,532,17,166,0.28,93,0.09,0.50,1.80,0,0.09,0,0,2.60,0,0,42.2
"Caruru, cru",329,100,3.20,6,34,0,0.60,4.50,5.40,4.50,455,14.00,197,279,0.89,77,0.37,6,2.60,0,0,0.10,0.11,0,1906.00,1906.00,87.6
"Pupunha, cozida",330,100,2.50,29.60,219,0,12.80,4.30,2.20,0.50,28.00,1,25,303,0.13,49,0.28,0.30,0.70,0,0,0.09,0.03,0,875,875,54.5
"Farinha, de mandioca, torrada",331,100,1.20,89.20,365,0,0.30,6.50,0,1.20,76,10,40,328,0.37,39,0,0.40,1,0,0,0,0.81,0,0,0,8.3
"Feijão, rosinha, cozido",332,100,4.50,11.80,68,0,0.50,4.80,0,1.20,19,2,43,241,0.46,90,0.09,1.30,0.60,0,0,0,0,3.69,0,0,82.6
"Ovo, de galinha, gema, cozida/10minutos",333,100,15.90,1.60,353,1272,30.80,0,0,2.90,114.00,45,9,87,0.06,386,0,2.90,1.70,148,0.18,0.22,0,0,0,0,50.0
"Carne, bovina, miolo de alcatra, sem gordura, cru",334,100,21.60,0,163,60,7.80,0,0,2,3,43,20,299,0.01,165,0.06,3,1,4,0.12,0.07,0,3.59,4,4,69.5
"Carambola, crua",335,100,0.90,11.50,46,0,0.20,2,60.90,0.20,5,4,7.00,133,0.13,11,0.08,0.20,0.40,0,0.12,0,0,0,0,0,87.1
"Bacalhau, salgado, cru",336,100,29.00,0,136,139,1.30,0,0,0.90,157,13585,49,434,0.03,186,0.09,0.70,22.50,0,0,0.21,0,0,0,0,47.9
"Abadejo, filé, congelado, grelhado",337,100,27.60,0,130,136,1.30,0,0,0.30,20,305,22,279,0,581,0,0.40,1.60,6,0.03,0,0,0.44,6,6,71.0
"Café, pó, torrado",338,100,14.70,65.80,419.00,0,11.90,51.20,0,8.10,107,1,165,1609,2.58,169,1.30,0.50,4.70,0,0,0,0,11.89,0,0,2.9
Camarão à baiana,339,100,7.90,3.20,101,117,6,0.40,4.10,1.40,43,85,15,139,0.11,244,0.07,0.50,0.90,0,0,0,0,0.31,0,0,82.0
"Fécula, de mandioca",340,100,0.50,81.10,331,0,0.30,0.60,0,0.10,12,2,3,48,0,60,0,0,0.30,0,0.03,0,0,0,0,0,17.8
"Carne, bovina, acém, sem gordura, cozido",341,100,27.30,0,215,107,10.90,0,0,2.40,7.00,56.00,14.00,254,0,164,0.07,8,0.80,0,0,0.04,0.07,1.63,0,0,60.4
"Laranja, lima, suco",342,100,0.70,9.20,39,0,0.10,0.40,41.30,0,8,0,11,129,0.02,16,0.02,0,0.30,0,0.10,0.03,0.04,0,0,0,89.7
"Brócolis, cru",343,100,3.60,4,25,0,0.30,2.90,34.30,0.60,86,3,30,322,0.26,78,0.06,0.50,0.80,0,0.12,0.18,0.08,1.39,279,279,91.2
"Acerola, crua",344,100,0.90,8,33,0,0.20,1.50,941.40,0.20,13,0,13,165,0.07,9,0.07,0.10,0.40,0,0,0.04,0,1.38,247.00,247.00,90.5
Barreado,345,100,18.30,0.20,165,60,9.50,0.10,0,2.40,15,48,21,295,0.05,169,0.17,4.80,0.80,0,0.03,0.04,0,2.09,0,0,71.2
"Lambari, congelado, cru",346,100,16.80,0,131,159,6.50,0,0,0.90,1181,48,45,244,0.28,696,0.09,3.30,3.60,4,0.05,0,0,3.30,4,4,71.9
"Rabanete, cru",347,100,1.40,2.70,14.00,0,0.10,2.20,9.60,0.40,21,11,10,328,0.07,25,0.02,0.20,0.70,0,0.06,0.02,0.04,0,0,0,95.1
"Mel, de abelha",348,100,0,84,309,0,0,0,0.70,0.30,10,6,6,99,0.38,4,0,0.20,0.10,0,0.11,0,0,0,0,0,15.8
"Carne, bovina, bucho, cozido",349,100,21.60,0,133,245.00,4.50,0,0,0.60,13,38,7.00,70,0.01,63,0.05,2.50,0.30,0,0,0,0,2.18,0,0,74.1
"Tucumã, cru",350,100,2.10,26.50,262,0,19.10,12.70,18,0.60,46,4,121,401,0.55,53,0.39,0.90,1.10,0,0.04,0,0.11,0,2363,2363,51.3
"Cenoura, cozida",351,100,0.80,6.70,30,0,0.20,2.60,0,0.10,26,8,14.00,176,0.05,27,0.02,0.20,0.60,0,0.07,0,0.06,2.68,612,612,91.7
"Leite, de vaca, desnatado, pó",352,100,34.70,53,362,25,0.90,0,0,0.90,1363,432,109.00,1556,0,1673,0.16,3.80,8.20,299,0.32,1.20,0,0.81,0,0,3.1
"Beterraba, cozida",353,100,1.30,7.20,32,0,0.10,1.90,1.20,0.20,15,23,17,245.00,0.19,30,0.04,0.40,0.80,0,0.09,0,0,0,0,0,90.6
"Carne, bovina, paleta, com gordura, crua",354,100,21.40,0,159,58.00,7.50,0,0,1.80,4,65,14.00,250,0,158,0.08,3.70,0.90,0,0,0.04,0.02,0.91,0,0,70.6
"Mostarda, folha, crua",355,100,2.10,3.20,18,0,0.20,1.90,38.60,1.10,68,3,16,364,0.14,58.00,0.05,0.30,1.10,0,0.05,0.04,0.05,0,0,0,93.4
Apresuntado,356,100,13.50,2.90,129,38,6.70,0,0,0.90,23,943,15,270,0.04,225,0.03,1.60,3.30,0,0.62,0.04,0,0.70,0,0,73.7
Tabule,357,100,2,10.60,57.00,0,1.20,2.10,16.20,0.60,19,1,18,188,0.37,35,0.12,0.60,0.40,0,0.03,0,0,0.60,0,0,85.8
"Batata, baroa, cozida",358,100,0.90,18.90,80,0,0.20,1.80,17.10,0.40,12,2,8,258,0.22,29.00,0.15,0.40,0.80,0,0.06,0,0,1.98,0,0,79.3
"Batata, doce, crua",359,100,1.30,28.20,118,0,0.10,2.60,16.50,0.40,21,9,17,340,0.18,36,0.11,0.20,0.90,0,0.06,0,0.10,0,0,0,69.5
"Jambo, cru",360,100,0.90,6.50,27,0,0.10,5.10,3.80,0.10,14.00,22,14.00,135,0.05,18,0.02,0.10,0.50,0,0.08,0,0,1.18,0,0,92.1
"Batata, inglesa, cozida",361,100,1.20,11.90,52,0,0,1.30,3.80,0.20,4,2,5,161,0.07,24,0.06,0.20,0.50,0,0.05,0,0.08,0,0,0,86.4
"Lingüiça, frango, crua",362,100,14.20,0,218.00,64,17.40,0,0,0.50,11,1126,19,280,0.05,182,0.05,0.70,3.30,0,0.11,0.05,0,4.60,0,0,64.8
"Abóbora, moranga, crua",363,100,1,2.70,12,0,0.10,1.70,9.60,0,3,0,2,125,0.01,8,0.05,0.10,0.40,0,0,0,0.06,0,278,278,95.9
"Queijo, pasteurizado",364,100,9.40,5.70,303,82,27.40,0,0,0.30,323,780,16,194,0.01,578,0.05,1.30,3.10,57.00,0,0.20,0,0,0,0,54.4
"Porco, costela, crua",365,100,18,0,256,69,19.80,0,0,0.90,15,88,18,248,0,159,0.05,2.30,0.90,0,0.62,0,0,8.27,0,0,61.2
"Pêssego, enlatado, em calda",366,100,0.70,16.90,63,0,0,1,0,0.60,4,3,4,95,0.03,9,0.04,0.10,0.20,0,0,0,0,0,48,48,82.2
"Carne, bovina, contra-filé, com gordura, grelhado",367,100,32.40,0,278,144,15.50,0,0,2.40,4,57.00,19,352,0,219,0.09,4.80,1.20,0,0,0.18,0.13,4.91,0,0,51.7
"Ameixa, crua",368,100,0.80,13.90,53,0,0,2.40,7.60,0.10,6,0,5,134,0.03,14.00,0.06,0.10,0.60,0,0.07,0,0.03,0,27,27,84.8
"Laranja, da terra, suco",369,100,0.70,9.60,41,0,0.10,1,44.30,0.10,13,0,10,145,0.02,15,0.02,0.10,0.40,0,0.04,0,0.04,0,4,4,89.2
"Frango, sobrecoxa, com pele, assada",370,100,28.70,0,260,158,15.20,0,0,1.20,11,96,15,323,0,252,0.06,2.20,1.30,8,0.10,0.05,0,11.20,8,8,55.0
"Tomate, com semente, cru",371,100,1.10,3.10,15,0,0.20,1.20,21.20,0.20,7.00,1,11,222.00,0.07,20,0.04,0.10,0.50,0,0.12,0,0.02,0,54,54,95.1
"Ervilha, enlatada, drenada",372,100,4.60,13.40,74,0,0.40,5.10,0,1.40,22,372,23,147,0.46,79,0.14,0.90,1.40,0,0.07,0.03,0,0,9,9,80.1
"Frango, inteiro, sem pele, cru",373,100,20.60,0,129,78,4.60,0,0,0.50,7.00,73,27,238,0.01,190,0.03,1.20,0.90,4,0.12,0.03,0,3.28,4,4,74.9
"Ovo, de galinha, inteiro, cozido/10minutos",374,100,13.30,0.60,146,397,9.50,0,0,1.50,49,146,11,139,0.02,184,0.04,1.20,0.80,32,0.08,0.30,0,0,0,0,75.8
"Couve, manteiga, crua",375,100,2.90,4.30,27,0,0.50,3.10,96.70,0.50,131,6,35,403,1.02,49,0.06,0.40,1.30,0,0.20,0.31,0.06,2.29,496,496,90.9
"Leite, fermentado",376,100,1.90,15.70,70,2,0.10,0,0.50,0,72,33,6,94,0.02,63,0.01,0.30,0.50,0,0.08,0.11,0,0,0,0,81.9
"Manga, polpa, congelada",377,100,0.40,12.50,48,0,0.20,1.10,24.90,0.10,7.00,7.00,9,131,0.12,9,0.06,0.10,0.40,0,0,0.07,0.03,0,0,0,86.5
Bolinho de arroz,378,100,8,41.70,274,70,8.30,2.70,0,2.10,24,59,13,96,0.42,87,0.13,0.90,0.50,0,0.08,0.05,0,0,0,0,41.5
"Carne, bovina, almôndegas, fritas",379,100,18.20,14.30,272,36,15.80,0,0,1.90,27,1030,48,536,0.41,244,0.19,2.60,3.70,0,0.13,0.07,0,6.60,0,0,48.1
"Doce, de leite, cremoso",380,100,5.50,59.50,306,20,6,0,0,0.10,195,120,16,259,0.01,141,0.02,0.50,1.50,36,0.05,0.26,0,0,36,36,27.5
"Lambari, fresco, cru",381,100,15.70,0,152,144,9.40,0,0,0.60,590,41,32,207.00,0.41,441,0.05,2.40,2.20,0,0,0.03,0.07,1.86,0,0,72.2
"Abadejo, filé, congelado, assado",382,100,23.50,0,112.00,103,1.20,0,0,0.50,23,334,20,156,0,338,0.03,0.50,1.60,0,0,0,0,0.44,0,0,74.3
"Cereais, mistura para vitamina, trigo, cevada e aveia",383,100,8.90,81.60,381,0,2.10,5,13.10,12.60,584,1163,72,244,2.28,515,0.21,2,3,0,0.76,0.88,1.49,7.46,0,0,4.4
"Café, infusão 10%",384,100,0.70,1.50,9,0,0.10,0,0,0,3,1,10,156,0.04,9,0.01,0,0.40,0,0,0,0,0,0,0,97.4
"Banana, nanica, crua",385,100,1.40,23.80,92,0,0.10,1.90,5.90,0.30,3,0,28.00,376,0.14,27,0.10,0.20,0.80,0,0,0.02,0.14,0,14.00,14.00,73.8
"Abobrinha, italiana, refogada",386,100,1.10,4.20,24,0,0.80,1.40,7.50,0.40,21,2,13,194,0.14,32,0.02,0.30,0.40,0,0.04,0,0,0,42,42,93.5
"Queijo, mozarela",387,100,22.60,3,330,80,25.20,0,0,0.30,875,581,24,62,0.03,470,0.08,3.50,3.80,109.00,0,0.20,0,0,0,0,45.3
"Lentilha, cozida",388,100,6.30,16.30,93,0,0.50,7.90,0,1.50,16,1,22,220.00,0.29,104,0.17,1.10,0.60,0,0.03,0,0,0,0,0,76.3
"Refrigerante, tipo laranja",389,100,0,11.80,46,0,0,0,0,0,2,9,1,16,0,1,0,0,0,0,0,0,0,0,0,0,88.2
"Cereais, mingau, milho, infantil",390,100,6.40,87.30,394,0,1.10,3.20,109.40,3,219,399,16,82,0.11,169,0.04,0.40,0.50,21,3.72,0.47,5.08,24.16,0,0,4.7
"Maracujá, suco concentrado, envasado",391,100,0.80,9.60,42,0,0.20,0.40,13.70,0.30,4,22,4,201.00,0.07,14.00,0.05,0.10,0.50,0,0,0.08,0.05,1.92,0,0,88.9
"Cuscuz, de milho, cozido com sal",392,100,2.20,25.30,113.00,0,0.70,2.10,0,0.20,2,248,3,11,0.02,23,0,0.20,0.70,0,0,0,0.06,0,0,0,71.1
"Iogurte, sabor pêssego",393,100,2.50,9.40,68,8,2.30,0.70,0,0.10,95,37,8,52,0,66,0.02,0.30,0.60,21,0.02,0.10,0,0.38,0,0,85.1
"Bacalhau, salgado, refogado",394,100,24,1.20,140,112.00,3.60,0,0,0.20,59,1256,15,50,0,51,0.04,0.60,5.30,0,0.03,0.05,0,5.17,0,0,65.9
"Laranja, da terra, crua",395,100,1.10,12.90,51,0,0.20,4,34.70,0.10,51,1,14.00,173,0.04,20,0.04,0.20,0.50,0,0.07,0.09,0.03,0,0,0,85.4
"Soja, queijo (tofu)",396,100,6.60,2.10,64,0,4,0.80,0,1.40,81,1,38,182,0.33,130,0.18,0.90,0.70,0,0.04,0,0.03,0,0,0,86.6
"Farinha, de rosca",397,100,11.40,75.80,371,0,1.50,4.80,0,6.70,35,333,57.00,212,1.62,195,0.26,1.70,1.60,0,0.25,0,0.09,0,0,0,9.8
"Manteiga, com sal",398,100,0.40,0.10,726,201.00,82.40,0,0,0.20,9,579,1,15,0,28.00,0,0,1.40,924,0,0,0,0,0,0,15.8
"Mandioca, farofa, temperada",399,100,2.10,80.30,406.00,0,9.10,7.80,0,1.40,66,575,34,201.00,0.29,45,0,0.20,2.10,0,0.10,0,0.15,0,0,0,6.4
"Macarrão, molho bolognesa",400,100,4.90,22.50,120,7.00,0.90,0.80,0,1.40,11,9,10,84,0.22,54,0.09,0.80,0.20,0,0.04,0,0,1.44,0,0,71.4
"Iogurte, natural, desnatado",401,100,3.80,5.80,41,3,0.30,0,0.30,0,157,60,12,182,0,110.00,0,0.50,0.90,0,0,0.22,0,0,0,0,89.2
"Biscoito, salgado, cream cracker",402,100,10.10,68.70,432,0,14.40,2.50,0,2.20,20,854.00,40,181,0.69,148,0.18,1.10,2.70,0,0.71,0.13,0.17,7.14,0,0,4.1
Estrogonofe de carne,403,100,15,3,173,66,10.80,0,0,2.70,28.00,123,22,322,0.03,186,0.14,2,1.10,28.00,0.06,0.05,0,3.25,0,0,70.1
"Nabo, cru",404,100,1.20,4.10,18,0,0.10,2.60,9.60,0.20,42,2,15,280,4.42,17,0.02,0.20,0.80,0,0.07,0,0.03,0,0,0,93.8
"Macaúba, crua",405,100,2.10,13.90,404,0,40.70,13.40,13.40,0.80,67,1,66,306,0.08,44,0.35,0.70,1.80,0,0.11,0.11,0.03,0,1020.00,1020.00,41.5
"Vagem, crua",406,100,1.80,5.30,25,0,0.20,2.40,1.20,0.40,41,0,18,208,0.50,28.00,0.06,0.30,0.50,0,0,0.08,0,0,32,32,92.2
"Jamelão, cru",407,100,0.50,10.60,41,0,0.10,1.80,27.10,0,3,1,2,394,0,4,0.03,0,1,0,0.17,0,0.12,0,8,8,87.7
"Iogurte, sabor morango",408,100,2.70,9.70,70,7.00,2.30,0.20,0,0,101,38,8,52,0,73,0.02,0.30,0.60,27,0.03,0.12,0.02,0,0,0,84.6
"Tapioca, com manteiga",409,100,0.10,63.60,348,31,10.90,0,0,0.20,30,158,3,19,0.06,8,0.01,0,0.50,75,0,0,0,0,0,0,24.9
"Soja, extrato solúvel, natural, fluido",410,100,2.40,4.30,39,0,1.60,0.40,0,0.40,17,57.00,15,121,0.15,53,0.08,0.30,0.50,0,0,0,0,0,0,0,91.3
"Carne, bovina, contra-filé, à milanesa",411,100,20.60,12.20,352,99,24,0.40,0,2.90,15,77,27,271,0.27,203.00,0.10,2.90,1.10,15,0.07,0.04,0,3.02,0,0,42.2
"Pescada, filé, frito",412,100,28.60,0,154,81,3.60,0,0,0.30,10,115.00,21,249.00,0,204,0.03,0.60,1.70,4,0.14,0,0,8.87,4,4,66.8
"Sardinha, frita",413,100,33.40,0,257,103,12.70,0,0,1.10,482,60,39,460.00,0.25,629,0.14,1.60,4.30,0,0.06,0,0,7.10,0,0,48.5
"Manga, Tommy Atkins, crua",414,100,0.90,12.80,51,0,0.20,2.10,7.90,0.10,8,0,7.00,138,0.34,14.00,0.06,0.10,0.30,0,0,0.04,0.03,0,118,118,85.8
"Carne, bovina, picanha, com gordura, crua",415,100,18.80,0,213,60,14.70,0,0,1.70,2,38,14.00,232.00,0,165,0.06,3.80,0.90,3,0.13,0.16,0,4.77,3,3,65.6
"Camarão, Rio Grande, grande, cru",416,100,10,0,47,124,0.50,0,0,0.70,51,201.00,27,72,0.04,234,0.11,0.70,0.80,20,0,0,0,0,20,20,89.1
"Quibe, cru",417,100,12.40,10.80,109.00,27,1.70,1.60,0,1.70,12,39,26,242,0.39,126,0.13,2.80,0.70,0,0.09,0.03,0,1.20,0,0,74.5
Feijão tropeiro mineiro,418,100,10.20,19.60,152,68,6.80,3.60,0,2.20,41,365,36,349,0.38,199,0.22,1.40,1.80,9,0,0,0,1.44,0,0,61.7
"Feijão, carioca, cozido",419,100,4.80,13.60,76,0,0.50,8.50,0,1.30,27,2,42,255.00,0.28,87,0.19,0.70,0.70,0,0.04,0,0,0,0,0,80.4
"Carne, bovina, seca, cozida",420,100,26.90,0,313,100,21.90,0,0,1.90,13,1943,12,86,0.02,82,0.03,7.70,4.70,0,0,0.06,0,2.32,0,0,47.2
"Figo, cru",421,100,1,10.20,41,0,0.20,1.80,0.80,0.20,27,0,11,174,0.06,15,0.13,0.10,0.40,0,0.05,0,0,0,0,0,88.2
"Milho, fubá, cru",422,100,7.20,78.90,353,0,1.90,4.70,0,0.90,3,0,41,168,0.34,108,0.08,1.10,0.60,0,0.25,0,0,0.75,26,26,11.5
Creme de Leite,423,100,1.50,4.50,221,66,22.50,0,0,0.30,83,52,8,119,0.01,118,0.02,0.30,0.60,128,0,0.10,0,0,0,0,70.9
"Goiaba, doce em pasta",424,100,0.60,74.10,269,0,0,3.70,23.10,0.40,10,4,6,165,0.11,54,0.06,0.10,0.50,0,0.07,0,0,0,136,136,24.8
"Bolo, pronto, milho",425,100,4.80,45.10,311,82,12.40,0.70,0,0.70,83,134,10,118,0.11,128,0.04,0.40,1,57.00,0.11,0.05,0,0,0,0,36.7
"Agrião, cru",426,100,2.70,2.30,17,0,0.20,2.10,60.10,3.10,133,7.00,18,218.00,0.28,51,0.10,0.70,0.90,0,0.11,0.23,0.09,1.19,458,458,93.9
"Corimba, cru",427,100,17.40,0,128,40,6,0,0,0.50,40,47,23,317,0.02,190,0.03,0.40,1,0,0,0,0,1.87,0,0,75.6
"Caranguejo, cozido",428,100,18.50,0,83,85,0.40,0,0,2.90,357,360,52,186,0.07,154,0.72,5.70,3.50,0,0.04,0.31,0,4.17,0,0,77.0
"Linhaça, semente",429,100,14.10,43.30,495,0,32.30,33.50,0,4.70,211,9,347,869,2.81,615,1.09,4.40,3.70,0,0.12,0,0.13,0,0,0,6.7
"Salmão, filé, com pele, fresco, grelhado",430,100,23.90,0,229,85,14.00,0,0,0.50,29.00,85,28.00,384,0.02,300,0.04,0.60,1.30,0,0.13,0.06,0,5.35,0,0,60.9
"Frango, coração, grelhado",431,100,22.40,0.60,207.00,280,12.10,0,0,6.50,8,128,20,243.00,0.06,276,0.30,3.40,1.30,0,0.20,0.19,0,9.70,0,0,63.5
"Quibe, frito",432,100,14.90,12.30,254,38,15.80,0,0,2,22,836,39,322,0.72,166,0.16,2.80,3,0,0.12,0.10,0,1.50,0,0,54.0
"Banana, pacova, crua",433,100,1.20,20.30,78,0,0.10,2,0,0.40,5,1,30,267,0.41,20,0.06,0.10,0.70,0,0.05,0.03,0.17,0,0,0,77.7
"Cupuaçu, cru",434,100,1.20,10.40,49,0,1,3.10,24.50,0.50,13,3,18,331,0.07,21,0.07,0.30,1.20,0,0.37,0.04,0.07,4.34,0,0,86.2
"Uva, Itália, crua",435,100,0.70,13.60,53,0,0.20,0.90,3.30,0.10,7.00,0,5,162,0.13,12,0.11,0,0.60,0,0,0,0.03,0,5,5,85.0
"Porco, bisteca, grelhada",436,100,28.90,0,280,82,17.40,0,0,0.90,34,51,25,366,0,229,0.06,2.30,1.20,0,0.77,0.14,0.03,1.92,0,0,51.8
"Abadejo, filé, congelado, cru",437,100,13.10,0,59,31,0.40,0,0,0.10,10,79,14.00,148,0.01,91,0.14,0.40,0.60,0,0.04,0,0,4.60,0,0,86.4
"Kiwi, cru",438,100,1.30,11.50,51,0,0.60,2.70,70.80,0.30,24,0,11,269,0.05,33,0.15,0.10,0.70,0,0,0,0.06,0,5,5,85.9
"Lasanha, massa fresca, crua",439,100,7.00,45.10,220.00,0,1.30,1.60,0,1.90,17,667,13,137,0.34,82,0.10,0.80,1.60,0,0.08,0,0,0,0,0,45.0
"Batata, inglesa, frita",440,100,5,35.60,267,0,13.10,8.10,16.30,0.40,6,2,14.00,489.00,0.15,70,0.10,0.40,2.20,0,0.17,0,0.10,2.51,0,0,44.1
"Cebolinha, crua",441,100,1.90,3.40,20,0,0.40,3.60,31.80,0.60,80,2,25,206,0.13,27,0.04,0.30,0.50,0,0.03,0.04,0.08,0,134,134,93.9
"Bolo, mistura para",442,100,6.20,84.70,419.00,0,6.10,1.70,0,1.20,59,463,28.00,75,0.46,333,0.15,0.60,2,0,0.18,0,1.50,1.52,0,0,1.0
"Carne, bovina, fraldinha, com gordura, crua",443,100,17.60,0,221,54,16.10,0,0,1.50,3,51,16,274,0,131,0.04,4.20,0.90,5,0.08,0.07,0.03,3.56,5,5,65.4
"Carne, bovina, coxão duro, sem gordura, cru",444,100,21.50,0,148,60,6.20,0,0,1.90,3,49,21,358,0,189,0.05,2.80,1.10,2,0.12,0.20,0,4.38,2,2,69.8
